life-insurance	idx_1285 idx_65774 idx_862 idx_605 idx_448 idx_136 idx_3815 idx_19543 idx_18054 idx_8641	16164 99 26337	15813 3286 22367 21353 4977 6406 24335 16681 2700 4390 8573 16012 21636 22510 15865 24672 4915 4926 2401 13843 20198 12594 27141 778 23359 19273 16041 15877 10183 21822 9467 16832 15628 27144 1439 11737 27205 4860 11758 17284 18122 27321 26514 18766 14065 8329 18897 10320 726 13506 5637 1544 22105 22685 17737 19421 3430 3501 7630 9130 9040 22593 21889 5973 17675 24033 21249 15068 13251 21301 14875 20524 5842 14784 17666 15680 9889 25259 11044 14557 26451 11107 3804 23872 6722 27115 27237 7393 24248 2641 15032 26249 16292 11432 926 6165 18404 20778 18473 15070
renters-insurance	idx_1285 idx_1010 idx_999 idx_136 idx_21593 idx_8641	22542 4380	2235 26739 24916 17855 3406 21201 70 19553 22008 5768 18118 2105 20821 2316 25072 6805 9846 24262 6317 6250 13690 1467 4770 10917 18784 7229 8030 26792 15729 13179 2464 3884 23403 24493 6292 24533 26 13983 15294 26821 22449 20057 10641 16504 8153 14453 6276 16349 27141 14698 13650 12175 836 17050 15911 5230 10139 5955 18903 2710 471 20269 11888 17073 16128 8026 26441 19693 11405 7745 14596 13353 22175 5530 17982 10727 18225 12703 8782 26875 16985 1324 16967 25308 7420 17279 11137 26769 22418 18674 21014 14694 20737 22135 3346 7342 5099 12388 20032 12029
home-insurance	idx_1010 idx_17002 idx_382 idx_65840 idx_14927 idx_3205 idx_136 idx_8641	26439	23486 2424 14974 3344 7712 6220 5346 12474 5580 25338 21782 12368 4117 8431 22387 5031 9414 9939 23407 2364 22635 557 10749 6463 12330 3765 7609 708 5603 19300 24468 24671 26440 21703 25542 8742 11915 14811 17703 556 2392 18528 6054 22231 2869 8693 8871 8300 22322 17773 13581 4920 20021 3439 5801 9575 9791 23188 19607 22456 24041 20613 15249 22978 25449 25931 10477 4640 10211 21677 3620 13073 14384 1885 24346 7556 8345 12324 18639 7992 6049 17285 20149 4145 6479 12054 26170 10556 23902 9573 12528 14049 19806 23140 9818 13892 15503 4547 286 15405
long-term-care-insurance	idx_1285 idx_239 idx_49 idx_739 idx_31 idx_57 idx_604 idx_605 idx_891 idx_136 idx_8641	6996	17044 11643 1904 25722 17842 12460 20363 6904 12966 23825 23689 20677 12503 6429 15480 9067 24248 9053 4366 8971 10711 25136 19549 11267 20022 12423 11569 2212 7980 13887 6283 572 14491 27026 26787 19090 21616 1125 19867 16357 380 8427 14415 9758 7389 6071 9931 25182 20419 3900 25792 4946 405 2193 4151 20443 13538 26822 13596 18613 21828 3924 23015 25865 21722 1105 14664 2812 16054 20390 6349 22091 8637 921 7293 5467 24747 23822 2788 3935 6807 19853 7784 2345 17288 7670 16785 14634 11120 25465 6697 9547 24085 790 21819 11064 27033 18486 19238 5243
medicare-insurance	idx_2363 idx_467 idx_8080 idx_31 idx_9966 idx_68484 idx_8641	9128	9128 13322 21601 21471 6442 5412 24861 23536 2806 971 20073 21782 8178 12772 11323 13254 21807 4655 10887 9072 24283 7563 24851 7380 16179 18360 16053 10408 25903 3932 17661 10665 13038 22891 948 4673 10973 15774 17329 19006 21883 18016 26944 710 5485 13926 19547 14833 24117 18957 23643 2869 9758 3287 17172 18683 27362 6716 15253 15404 20851 10229 556 27234 4958 14514 20055 25278 26064 12441 22876 1759 8276 12551 17897 18800 19406 20976 24496 1043 1918 2484 11868 12445 19244 19415 19655 22355 22383 23473 11861 17263 401 676 2970 6427 7123 7714 8331 9223
life-insurance	idx_1285 idx_3815 idx_66759 idx_31 idx_448 idx_136 idx_8641	14495	2922 14495 17021 19342 27115 26050 15659 9422 16308 429 15685 17055 15877 13503 778 8575 21822 24120 23338 26752 16371 3301 2700 10056 579 17196 10676 8234 26514 2886 10868 25817 8137 11540 21603 3917 12419 10915 15865 12314 4312 12308 12906 19189 22362 3174 19287 17743 22308 23544 17339 17152 2654 4977 5467 5839 8292 15993 6130 786 12570 23271 16475 3055 14596 18122 411 17948 15128 7277 27209 4381 19186 25835 26417 10461 22692 1544 9854 10951 13474 13506 15544 26252 4755 2391 5002 17279 23962 20908 25796 12436 10139 19330 16091 25486 12693 13786 14857 27142
life-insurance	idx_1285 idx_2837 idx_2363 idx_6434 idx_448 idx_136 idx_510 idx_76 idx_66425 idx_9423 idx_8641	7846 21998	1921 3228 21998 16946 4388 3091 5107 12931 10490 16094 20381 554 5012 5062 10472 11326 6677 636 1041 5243 26745 9711 17219 1896 11251 13392 14417 21128 21383 27171 25760 9898 4781 6007 5681 10824 11313 1893 17981 8448 17418 19560 15386 22234 5781 7662 507 21924 14844 3583 11643 958 2052 11795 9607 7443 5076 7900 660 4938 9103 16759 18850 5126 6998 18160 7988 24859 4303 4724 11066 23372 12440 11639 12295 27127 7846 11281 13211 18307 20893 2250 4910 13602 26638 24708 16476 12816 3913 26960 17021 17122 17091 15231 17196 24145 23240 2309 6615 11590
health-insurance	idx_3189 idx_3815 idx_441 idx_136 idx_1132 idx_9524 idx_57 idx_3876 idx_3877 idx_8641	3183	26289 13394 4703 25717 1438 1449 25865 25950 19294 1269 18684 25714 1322 16439 1621 6961 21572 4263 23282 2145 15477 19098 24372 13516 22084 23264 12525 11322 22745 15636 20883 2152 8281 13558 10536 4447 22032 16572 3308 343 18432 1203 3272 4799 24655 26598 5824 8437 15023 15299 23816 197 14500 21546 26072 24105 26070 15067 12302 2265 21199 24491 18315 2547 15070 14224 634 12264 19094 1238 5358 23872 11627 21552 6978 10738 19974 20485 20313 22944 13596 27184 1338 19107 21475 24350 14041 20848 664 26230 7923 20053 17631 21397 11192 1609 7992 24647 2239 26551
health-insurance	idx_862 idx_1233 idx_2684 idx_9744 idx_510 idx_9744 idx_441 idx_136 idx_8641	12919	4655 17619 24092 5011 19350 1140 16681 22024 23171 15043 10651 18727 15919 5167 22921 4207 4189 6190 16836 5839 19535 11996 10101 17058 17190 25639 8278 15129 15669 12791 7137 15892 6231 2041 2648 9756 9040 13842 23713 5530 12859 6336 12130 24694 15003 6847 21819 14469 19876 13341 21782 1623 6063 8687 10819 23915 24748 11241 24290 5192 4390 17241 5345 1281 13004 8804 18173 17623 27408 15145 6054 11525 17697 19974 2304 9744 6285 7109 8438 23978 2870 17034 5603 11296 1449 25295 5607 6047 9690 786 11991 27328 3013 22063 14607 12723 20421 4796 19136 6239
renters-insurance	idx_1632 idx_510 idx_20062 idx_382 idx_999 idx_136 idx_15312 idx_8641	19814	3705 7537 2707 14075 3620 11522 11466 5052 8936 88 3592 4015 16660 19814 11580 18572 9342 19701 8174 26872 606 12003 4684 14306 14425 24749 17622 335 804 1036 14987 5297 11341 22939 24427 22746 18467 26739 15911 20013 24916 24224 6143 5781 1778 1655 19278 14109 18660 25310 7925 11325 16269 17855 12001 3967 26037 5812 16144 2235 24476 9375 15910 19553 24990 2765 21707 11604 15985 1404 4264 24426 150 25572 21652 8663 14730 22453 25559 13679 23750 10026 11480 20466 25099 6317 9207 26946 2316 13983 13227 18225 1207 8499 25268 25153 1544 25529 13154 14243
